,Account,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
29,@BBCBreaking,"Several people wounded in knife attack on bus in northern German city of Luebeck, reports say https://t.co/SS7enQBT3h",Fri Jul 20 13:34:59 +0000 2018,-0.4767,0.0,0.838,0.162,30
30,@BBCBreaking,"Major medical records hack uncovered in Singapore, affecting 1.5m people (a third of the population) - government https://t.co/nu4OV6GXcq",Fri Jul 20 10:09:12 +0000 2018,0.0,0.0,1.0,0.0,31
31,@BBCBreaking,"The baby girl who was in the back of an Audi that was carjacked in Birmingham has been found safe and well, and wil… https://t.co/gmtENbXzvE",Thu Jul 19 16:24:26 +0000 2018,0.6124,0.179,0.821,0.0,32
32,@BBCBreaking,"Four-week-old baby girl in the back of an Audi carjacked in Birmingham, say police https://t.co/LFWNZhFOnN",Thu Jul 19 16:05:13 +0000 2018,0.0,0.0,1.0,0.0,33
33,@BBCBreaking,Police 'identify Russian suspects' in Novichok attack on ex-spy Sergei Skripal and his daughter Yulia in Salisbury https://t.co/JZcvjKt9Bm,Thu Jul 19 08:49:00 +0000 2018,-0.6705,0.0,0.744,0.256,34
34,@BBCBreaking,"EU fines Google record 4.34bn euros ($5bn) for using Android operating system to illegally ""cement dominant positio… https://t.co/XnQIu99Eml",Wed Jul 18 11:23:03 +0000 2018,0.0,0.0,1.0,0.0,35
35,@BBCBreaking,RT @BBCSport: Liverpool have agreed a world record fee with Roma for goalkeeper Alisson https://t.co/DaEYQGPqKj #LFC https://t.co/T85ZC9aRFU,Wed Jul 18 11:00:10 +0000 2018,0.2732,0.123,0.877,0.0,36
36,@BBCBreaking,"BBC's Director of News, Fran Unsworth, says it is 'looking at' appealing the judgment after Sir Cliff Richard wins… https://t.co/bjggtxbcRB",Wed Jul 18 09:46:34 +0000 2018,0.0,0.0,1.0,0.0,37
37,@BBCBreaking,"""I'm choked up. I can't believe it. It's wonderful news."" Sir Cliff Richard says after winning High Court privacy c… https://t.co/m4QUWRwDM0",Wed Jul 18 09:03:11 +0000 2018,0.6124,0.261,0.625,0.114,38
38,@BBCBreaking,"Sir Cliff Richard awarded £210,000 in damages after winning High Court privacy case against BBC. Judge says star is… https://t.co/2Jr4zfF9Dm",Wed Jul 18 08:56:46 +0000 2018,0.4939,0.235,0.654,0.112,39
39,@BBCBreaking,Sir Cliff Richard has won his High Court privacy case against the BBC over its coverage of a police raid on his home https://t.co/jXb9g43ADM,Wed Jul 18 08:50:31 +0000 2018,0.5719,0.144,0.856,0.0,40
40,@BBCBreaking,"Elon Musk apologises to British cave rescue diver in Thailand he called ""pedo guy"" for ridiculing his mini-submarine https://t.co/fjJkSwsmFg",Wed Jul 18 07:06:29 +0000 2018,0.3182,0.213,0.669,0.117,41
41,@BBCBreaking,President Donald Trump says he accepts US intelligence agencies' conclusion that Russia interfered in the 2016 elec… https://t.co/1Q1gfcJXc2,Tue Jul 17 19:12:50 +0000 2018,0.6597,0.252,0.748,0.0,42
42,@BBCBreaking,"UK government narrowly wins key Brexit vote, rejecting call to stay in a customs union in ""no-deal"" scenario https://t.co/HYquaTYKv6",Tue Jul 17 17:50:20 +0000 2018,0.1779,0.163,0.705,0.132,43
43,@BBCBreaking,"Unemployment fell by 12,000 in the three months to May to 1.41 million, official figures show https://t.co/txyZzQ4SZD",Tue Jul 17 08:33:15 +0000 2018,-0.4404,0.0,0.847,0.153,44
44,@BBCBreaking,Brexit campaign group Vote Leave is fined and referred to police for breaking electoral law https://t.co/1jWE9x7lKd,Tue Jul 17 06:17:56 +0000 2018,-0.0516,0.0,0.926,0.074,45
45,@BBCBreaking,UK government avoids defeat - by just three votes - on its Customs Bill after agreeing to Brexiteers' amendment https://t.co/BttpCnYbBC,Mon Jul 16 21:08:29 +0000 2018,-0.3182,0.109,0.679,0.213,46
46,@BBCBreaking,"Victorious French World Cup team to receive their country's highest accolade, the Légion d'Honneur https://t.co/dbzCE4xgxd",Mon Jul 16 14:19:40 +0000 2018,0.0,0.0,1.0,0.0,47
47,@BBCBreaking,"""It's great to be with you""

US President Donald Trump shakes hands with Russian President Vladimir Putin ahead of… https://t.co/k1OMUo03Zy",Mon Jul 16 11:20:02 +0000 2018,0.6249,0.177,0.823,0.0,48
48,@BBCBreaking,"Donald Trump says he expects to have ""extraordinary relationship"" with Vladimir Putin as they begin first summit https://t.co/vcJdgUan5q",Mon Jul 16 11:15:14 +0000 2018,0.0,0.0,1.0,0.0,49
49,@BBCBreaking,"RT @BBCSport: FRANCE ARE THE WORLD CHAMPIONS!

It’s ended #FRA 4-2 #CRO to give the French their second #WorldCup triumph.

Allez les bleus…",Sun Jul 15 16:54:13 +0000 2018,0.8188,0.264,0.736,0.0,50
50,@BBCBreaking,"RT @5liveSport: Novak Djokovic has done it! 👑

He beats Kevin Anderson in straight sets to win his fourth #Wimbledon title 👏👏

🏆🏆🏆🏆

Reacti…",Sun Jul 15 15:33:53 +0000 2018,0.7177,0.222,0.778,0.0,51
51,@BBCBreaking,"UK Prime Minister Theresa May says Donald Trump told her to ""sue the EU"" https://t.co/ua2BkVnhgF https://t.co/sjan2qwTCi",Sun Jul 15 09:03:52 +0000 2018,0.0,0.0,1.0,0.0,52
52,@BBCBreaking,"RT @BBCSport: Angelique Kerber is the #wimbledon champion! 👏

The German beats Serena Williams to lift the trophy for the first time! 🙌
 
L…",Sat Jul 14 16:23:05 +0000 2018,0.6688,0.176,0.824,0.0,53
53,@BBCBreaking,"RT @BBCSport: FT Belgium 2-0 England

England leave Russia with their heads held high and their joint-best #worldcup finish since '66.

Bel…",Sat Jul 14 15:52:16 +0000 2018,-0.0516,0.0,0.946,0.054,54
54,@BBCBreaking,"RT @BBCSport: He's done it! 🙌 

WHAT A MATCH! 🔥 

Novak Djokovic is through to his fifth #Wimbledon final! 

Nadal 4-6 6-3 6-7 (9-11) 6-3 8…",Sat Jul 14 14:34:06 +0000 2018,0.0,0.0,1.0,0.0,55
55,@BBCBreaking,"RT @BBCSport: IT'S OVER!

Game, set, match: Kevin Anderson ✅

After six hours 35 minutes, he's beaten John Isner 7-6 6-7 6-7 6-4 26-24.

📺…",Fri Jul 13 18:47:11 +0000 2018,-0.4753,0.0,0.881,0.119,56
56,@BBCBreaking,Former PM Nawaz Sharif arrested on return to Pakistan as elsewhere scores die in blasts targeting election rallies https://t.co/ZNtKUxtCWn,Fri Jul 13 16:46:13 +0000 2018,-0.7906,0.0,0.708,0.292,57
57,@BBCBreaking,"Police say Novichok that poisoned couple in Amesbury, Wiltshire, came from small bottle found in one victim's house https://t.co/OJekuAbuYz",Fri Jul 13 16:15:40 +0000 2018,-0.4939,0.0,0.849,0.151,58
58,@BBCBreaking,"12 Russian intelligence officers indicted for hacking Democrat emails during 2016 election, US authorities announce https://t.co/GMJNfLiBQO",Fri Jul 13 16:11:16 +0000 2018,0.4767,0.171,0.829,0.0,59
59,@BBCBreaking,"Queen Elizabeth II meets US President Donald Trump at Windsor Castle 

https://t.co/3Q606Y04yc #TrumpVisitUK https://t.co/VRXtDD1PP8",Fri Jul 13 16:06:19 +0000 2018,0.0,0.0,1.0,0.0,60
60,@BBCBreaking,"The US/UK relationship is now the ""highest level of special"" - President Trump tells Chequers press conference… https://t.co/Nei7esrAum",Fri Jul 13 13:34:39 +0000 2018,0.4019,0.144,0.856,0.0,61
61,@BBCBreaking,"""Boris Johnson I think would be a great prime minister""

I also said this ""incredible woman"" Theresa May is doing a… https://t.co/s6qNLdA5yO",Fri Jul 13 13:28:08 +0000 2018,0.6249,0.186,0.814,0.0,62
62,@BBCBreaking,"""I didn't criticise the prime minister"" in Sun interview - President Trump calls accusations ""fake news"" 

Latest… https://t.co/H6HCBDhp6Y",Fri Jul 13 13:15:37 +0000 2018,-0.4577,0.11,0.642,0.248,63
63,@BBCBreaking,"""Whatever you do is ok with us, just make sure we can trade together that's all that matters"" - President Trump on… https://t.co/KN9sbpEvnM",Fri Jul 13 13:09:28 +0000 2018,0.5574,0.228,0.772,0.0,64
64,@BBCBreaking,"RT @BBCSport: Chelsea have confirmed the sacking of manager Antonio Conte.

#bbcfootball https://t.co/zVCdvvNKka",Fri Jul 13 09:26:16 +0000 2018,0.0,0.0,1.0,0.0,65
65,@BBCBreaking,"RT @BBCSport: Look who's back! 😍

Serena Williams returns to familiar territory as she reaches her tenth #Wimbledon final!

Reaction 📲 http…",Thu Jul 12 15:10:13 +0000 2018,0.1984,0.086,0.914,0.0,66
66,@BBCBreaking,"RT @BBCSport: Chelsea are set to announce the departure of manager Antonio Conte after two years in charge.

More here: https://t.co/2AvV7Z…",Thu Jul 12 14:51:23 +0000 2018,0.0,0.0,1.0,0.0,67
67,@BBCBreaking,"RT @BBCSport: She's made it to the final! 🙌

Angelique Kerber has beaten Jelena Ostapenko in the first women's semi-final of the day. 

📲 h…",Thu Jul 12 13:18:24 +0000 2018,-0.4753,0.0,0.877,0.123,68
